PID,CID,BID,Country,Image,English Title,English Body,Target Gender,Age min,Age max,Target city
2,403,107,BR,br_revised_female_02.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,108,BR,br_revised_female_03.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,109,BR,br_revised_female_04.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,110,BR,br_revised_female_05.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,111,BR,br_revised_female_06.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,112,BR,br_revised_female_07.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,113,BR,br_revised_female_08.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,114,BR,br_revised_female_09.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,115,BR,br_revised_female_10.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,116,BR,br_revised_female_11.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,117,BR,br_revised_female_12.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,118,BR,br_revised_female_13.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,119,BR,br_revised_female_14.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,120,BR,br_revised_female_15.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,121,BR,br_revised_female_16.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,122,BR,br_revised_female_17.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,123,BR,br_revised_female_18.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,124,BR,br_revised_female_19.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,125,BR,br_revised_female_20.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,403,126,BR,br_revised_female_21.jpg,Are we all the same?,"Meet people like you on Duego and get surprised. Is social and fun, is Duego.",M,31,39,
2,342,85,AR,Entra a Duego y hace nuevos amigos! Unite ahora y conversá con chicos! Te divertirás!,Are you bored of the same?,Join Duego and make new male friends! Join now and talk to guys! You will have fun!,F,18,20,
2,342,86,AR,Entra a Duego y hace nuevos amigos! Unite ahora y conversá con chicos! Te divertirás!,Are you bored of the same?,Join Duego and make new male friends! Join now and talk to guys! You will have fun!,F,18,20,
2,342,87,AR,Entra a Duego y hace nuevos amigos! Unite ahora y conversá con chicos! Te divertirás!,Are you bored of the same?,Join Duego and make new male friends! Join now and talk to guys! You will have fun!,F,18,20,
2,342,88,AR,Entra a Duego y hace nuevos amigos! Unite ahora y conversá con chicos! Te divertirás!,Are you bored of the same?,Join Duego and make new male friends! Join now and talk to guys! You will have fun!,F,18,20,
